Time (s),FP1_Filtered,FP2_Filtered
1.34,8688.845704491157,-8161.738094183275
1.34,8691.750391749842,-8158.5103724775245
1.35,8695.122006271364,-8156.203564603232
1.35,8698.357613953787,-8155.253217477532
1.36,8701.040294374525,-8155.614394633878
1.36,8703.531220899265,-8156.792143503785
1.36,8706.04837667666,-8158.378154918996
1.37,8708.174152297841,-8160.223569427333
1.37,8709.886258659164,-8161.9958210913355
1.38,8712.142097886797,-8163.01963978714
1.38,8715.625388719787,-8162.837781873032
1.38,8719.594973171286,-8161.630055045459
1.39,8722.738768533154,-8159.850671359374
1.39,8724.526681298512,-8157.784992566501
1.4,8724.935135201878,-8155.756667589011
1.4,8723.549735963925,-8154.429924233039
1.4,8720.045909996901,-8154.449088106159
1.41,8715.161336234589,-8155.899660645167
1.41,8710.07814520605,-8158.443476478411
1.42,8704.997727764467,-8161.796819757745
1.42,8699.294156036894,-8165.691104679476
1.42,8692.89743220506,-8169.5399600328465
1.43,8686.46514234159,-8172.665909721909
1.43,8680.260839671402,-8174.902621637137
1.44,8674.033330024766,-8176.603496232111
1.44,8668.181759381101,-8178.034603001141
1.44,8663.91191894415,-8179.11242157145
1.45,8661.815278522561,-8179.738825778793
1.45,8661.172993774419,-8179.967875088776
1.46,8661.01219799614,-8179.747406036253
1.46,8660.933467811836,-8178.906893650466
1.46,8660.522600475493,-8177.555857863394
1.47,8659.067336274507,-8176.095819144452
1.47,8656.680540036657,-8174.608691076339
1.48,8654.904416727095,-8172.586131352828
1.48,8655.283218095496,-8169.557127021856
1.48,8657.788610797188,-8165.734845733243
1.49,8661.268806747676,-8161.815227322052
1.49,8664.761458623085,-8158.433410827691
1.5,8667.543675529034,-8156.0857079396565
1.5,8668.623835736997,-8155.220047212017
1.5,8667.45679365457,-8155.902978308955
1.51,8664.983542766111,-8157.504047457518
1.51,8662.918754651886,-8159.097543634621
1.52,8662.052872033177,-8160.1216956409025
1.52,8662.07822253918,-8160.378759725148
1.52,8662.81454637084,-8159.6238512071905
1.53,8664.445143739946,-8157.685351155355
1.53,8666.515962649428,-8155.001996311264
1.54,8667.890407946179,-8152.574135505568
1.54,8668.042924745916,-8151.2380118405335
1.54,8667.474369973457,-8151.245033122986
1.55,8666.568517893833,-8152.493463361349
1.55,8665.026006334703,-8154.705185722797
1.56,8662.839834125734,-8157.288020277723
1.56,8660.828787624265,-8159.528283640599
1.56,8659.56854120872,-8161.2094825275
1.57,8658.61977229169,-8162.731603867472
1.57,8657.49047245896,-8164.389616272465
1.58,8656.597249671464,-8165.826102678826
1.58,8656.507952025097,-8166.42717211767
1.58,8656.927750311235,-8165.982187650653
1.59,8657.30806791255,-8164.738410865367
1.59,8657.852403486677,-8163.15432980885
1.6,8658.909949245557,-8161.931434495935
1.6,8659.805405217538,-8161.943042750705
1.6,8659.349979975366,-8163.577063612544
1.61,8657.319090875222,-8166.17223518698
1.61,8654.508730514328,-8168.4550244535485
1.62,8651.660542370682,-8169.493824566857
1.62,8649.534844666903,-8168.97600370355
1.62,8649.947629362225,-8166.7980467285515
1.63,8655.249550003848,-8162.97108127164
1.63,8665.995191986396,-8158.04197997636
1.64,8679.518584259918,-8153.239458129761
1.64,8690.709862726817,-8150.120408113482
1.64,8693.459154544302,-8150.307062548326
1.65,8682.1392451734,-8155.286204865653
1.65,8654.603317881067,-8165.493202591383
1.66,8616.105825860916,-8178.916579348375
1.66,8579.765773878215,-8190.930275335402
1.66,8560.58243754434,-8196.415778956307
1.67,8566.327214320743,-8192.901472451958
1.67,8592.498246853358,-8182.206540092127
1.68,8625.53894463841,-8169.254127549816
1.68,8651.595984375528,-8159.087380780483
1.68,8663.69330688209,-8154.482259859229
1.69,8662.612036624729,-8155.591652361592
1.69,8653.253589606884,-8160.91070247795
1.7,8641.189664515727,-8168.152877460329
1.7,8631.030563519085,-8174.841510360689
1.7,8625.243134670327,-8179.16653372887
1.71,8623.389584202805,-8180.773466171805
1.71,8623.305161658182,-8180.584164456916
1.72,8623.520442607589,-8179.817676258656
1.72,8624.110686451619,-8179.320006744683
1.72,8625.422213253496,-8179.55135618529
1.73,8627.16003309579,-8180.591368409306
1.73,8629.003425029772,-8182.000455834307
1.74,8630.971521100828,-8183.1230978466565
1.74,8632.608229245256,-8183.772550376149
1.74,8632.783122690253,-8184.353851402842
1.75,8631.05187211491,-8185.204806911214
1.75,8628.504489595527,-8186.177849609658
1.76,8626.58765215997,-8187.046785788858
1.76,8625.743952869476,-8187.930828953065
1.76,8625.837505590805,-8189.008471079125
1.77,8627.086470422473,-8190.108485766915
1.77,8629.58427637907,-8190.916478659545
1.78,8632.469443126132,-8191.351574550412
1.78,8634.669877666176,-8191.402819646919
1.78,8636.218806967012,-8190.813979438301
1.79,8637.923570465173,-8189.336903529659
1.79,8640.031554341638,-8187.179389532391
1.8,8642.229422350367,-8184.82312500616
1.8,8644.73481866628,-8182.482520325687
1.8,8648.223348835685,-8180.118767870539
1.81,8652.610316891127,-8177.923796695568
1.81,8656.958050587082,-8176.374495311419
1.82,8660.751759331768,-8175.77833308434
1.82,8664.26589202724,-8176.112065958491
1.82,8667.46067123791,-8177.292673349113
1.83,8669.601276708729,-8179.161718758786
1.83,8670.409326647057,-8181.10276342173
1.84,8670.597826452406,-8182.128497248604
1.84,8670.672618804878,-8181.6193054065225
1.84,8670.066088285503,-8179.749124745269
1.85,8668.109520772578,-8177.095855317825
1.85,8665.062685389132,-8174.20991557806
1.86,8661.458903077122,-8171.736064000697
1.86,8657.231445378118,-8170.477544309971
1.86,8652.425336291837,-8170.867503041779
1.87,8648.14753307625,-8172.547855077954
1.87,8645.72330996946,-8174.803913522678
1.88,8645.203444623572,-8177.26450987918
1.88,8645.593342036449,-8179.913560859001
1.88,8646.203337801233,-8182.6684786666365
1.89,8646.799504608558,-8185.349517004416
1.89,8646.774739192613,-8187.890172302717
1.9,8645.443188923771,-8190.114737402172
1.9,8643.24516392092,-8191.370342119514
1.9,8641.582641771067,-8190.849223261498
1.91,8641.222088257467,-8188.371677804967
1.91,8641.699646499908,-8184.580034733259
1.92,8642.349454620446,-8180.42647019361
1.92,8642.833834878866,-8176.854579598583
1.92,8642.40638494445,-8174.898667373452
1.93,8639.867909101638,-8175.441987918795
1.93,8634.979135620315,-8178.51637469687
1.94,8629.124042677655,-8183.115077230503
1.94,8623.935925734126,-8187.907398639336
1.94,8619.945925605367,-8191.9179579943975
1.95,8617.082679945417,-8194.488796640671
1.95,8615.559023344438,-8195.131328960908
1.96,8615.352075787066,-8193.849231970516
1.96,8615.481965331506,-8191.373593113984
1.96,8614.823473572382,-8188.746079952965
